"node","N","M","phylum","class","order","family","genus"
"Agraylea",1.388888889,1.067967109,"Arthropoda","Insecta","Trichoptera","Hydroptilidae","Agraylea"
"Apatania",0.694444444,0.196011748,"Arthropoda","Insecta","Trichoptera","Apataniidae","Apatania"
"Baetis",14.58333333,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Chironomidae",21.52777778,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",
"Epeorus",1.388888889,14.45630938,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Epeorus"
"Heterlimnius",4.861111111,0.562121954,"Arthropoda","Insecta","Coleoptera","Elmidae","Heterlimnius"
"Hydropsyche",3.472222222,5.40467727,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Hydropsyche"
"Malenka",0.694444444,0.596340159,"Arthropoda","Insecta","Plecoptera","Nemouridae","Malenka"
"Oligochaeta",3.472222222,0.506640431,"Annelida","Clitellata",,,
"Optioservus",2.777777778,0.136166585,"Arthropoda","Insecta","Coleoptera","Elmidae","Optioservus"
"Paraleptophlebia",0.694444444,1.004883072,"Arthropoda","Insecta","Ephemeroptera","Leptophlebiidae","Paraleptophlebia"
"Pisidium",4.861111111,0.102405857,"Mollusca","Bivalvia","Veneroida","Pisidiidae","Pisidium"
"Rhyacophila",0.694444444,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila"
"Serratella",4.166666667,1.176798991,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Serratella"
"Simulium",3.472222222,0.357951466,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium"
"Suwallia",0.694444444,2.473558448,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Suwallia"
